date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:57:43	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1697445771-ssl-df	https://usmanarif.netlify.app/robots.txt		(from )
16:57:43	5010/5010	---MCZ	200	added ('OK')	text/html	etag:%22dc6177547115cbb1a9faa96691807b77-ssl-df%22	https://usmanarif.netlify.app/	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/index.html	(from )
16:57:44	12103/12103	---M--	200	added ('OK')	image/png	etag:%229b9633ef87f1a7bf2d75dc3cff01a187-ssl%22	https://usmanarif.netlify.app/assets/images/logo.png	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/assets/images/logo.png	(from https://usmanarif.netlify.app/)
16:57:45	68028/68028	---MCZ	200	added ('OK')	text/css	etag:%220fb87ad13fb6a029ff1deb9e1acd1aaf-ssl-df%22	https://usmanarif.netlify.app/lib/boxicons-2.1.4/css/boxicons.min.css	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/lib/boxicons-2.1.4/css/boxicons.min.css	(from https://usmanarif.netlify.app/)
16:57:46	2077/2077	---M-Z	200	added ('OK')	text/css	etag:%225b1f3973dc7aa964650d915a467677d6-ssl-df%22	https://usmanarif.netlify.app/scss/style.css	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/scss/style.css	(from https://usmanarif.netlify.app/)
16:57:48	232948/232948	---MCZ	200	added ('OK')	text/css	etag:%22d59f66acab4345ce6c61cccf426dbb8c-ssl-df%22	https://usmanarif.netlify.app/lib/bootstrap-5.3.2-dist/css/bootstrap.min.css	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/lib/bootstrap-5.3.2-dist/css/bootstrap.min.css	(from https://usmanarif.netlify.app/)
16:57:49	33970/33970	---MCZ	200	added ('OK')	text/html	etag:%224bf3ae7e79b3cc968b476ef97b3c9d5b-ssl-df%22	https://usmanarif.netlify.app/dark	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/dark.html	(from https://usmanarif.netlify.app/)
16:57:51	33976/33976	---MCZ	200	added ('OK')	text/html	etag:%2234a2089a680995206c92186aa3da36df-ssl-df%22	https://usmanarif.netlify.app/light	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/light.html	(from https://usmanarif.netlify.app/)
16:57:51	1100497/1100497	---M--	200	added ('OK')	image/png	etag:%2218c86509d910303ab0b72c6071e6b526-ssl%22	https://usmanarif.netlify.app/assets/images/demos/dark-mode.png	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/assets/images/demos/dark-mode.png	(from https://usmanarif.netlify.app/)
16:57:53	1150213/1150213	---M--	200	added ('OK')	image/png	etag:%2294775b700a7afbb82c8062e33d053220-ssl%22	https://usmanarif.netlify.app/assets/images/demos/light-mode.png	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/assets/images/demos/light-mode.png	(from https://usmanarif.netlify.app/)
16:57:53	293086/293086	---M--	200	added ('OK')	image/png	etag:%22eee48d133e2944508b1a16aa7e680664-ssl%22	https://usmanarif.netlify.app/assets/images/new.png	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/assets/images/new.png	(from https://usmanarif.netlify.app/)
16:57:53	35856/35856	---MCZ	200	added ('OK')	text/html	etag:%22750b696d5264a82dc87f54374d13d8d7-ssl-df%22	https://usmanarif.netlify.app/rtldark	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/rtldark.html	(from https://usmanarif.netlify.app/)
16:57:58	35854/35854	---MCZ	200	added ('OK')	text/html	etag:%2202a01833afe9020d65963dcf471342d3-ssl-df%22	https://usmanarif.netlify.app/rtllight	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/rtllight.html	(from https://usmanarif.netlify.app/)
16:58:05	4489772/4489772	---M--	200	added ('OK')	image/png	etag:%22394e11c93df635bd86110ca643c027cb-ssl%22	https://usmanarif.netlify.app/assets/images/demos/rtl-dark.png	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/assets/images/demos/rtl-dark.png	(from https://usmanarif.netlify.app/)
16:58:06	60577/60577	---MCZ	200	added ('OK')	application/javascript	etag:%221ef0af6f958ccc6099472b3dbbd0da7b-ssl-df%22	https://usmanarif.netlify.app/lib/bootstrap-5.3.2-dist/js/bootstrap.min.js	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/lib/bootstrap-5.3.2-dist/js/bootstrap.min.js	(from https://usmanarif.netlify.app/)
16:58:45	404773/404773	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%22679e8f553834f25e3e781244b2c2e6f4-ssl-df%22	https://usmanarif.netlify.app/lib/boxicons-2.1.4/fonts/boxicons.eot	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/lib/boxicons-2.1.4/fonts/boxicons.eot	(from https://usmanarif.netlify.app/lib/boxicons-2.1.4/css/boxicons.min.css)
16:59:23	117788/117788	---M--	200	added ('OK')	font/woff2	etag:%22d038a337b35b6cc3d235a7e93714b631-ssl%22	https://usmanarif.netlify.app/lib/boxicons-2.1.4/fonts/boxicons.woff2	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/lib/boxicons-2.1.4/fonts/boxicons.woff2	(from https://usmanarif.netlify.app/lib/boxicons-2.1.4/css/boxicons.min.css)
16:59:34	4418842/4418842	---M--	200	added ('OK')	image/png	etag:%22ee2dd2b6ede3301b704d9108f4e3b81d-ssl%22	https://usmanarif.netlify.app/assets/images/demos/rtl-light.png	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/assets/images/demos/rtl-light.png	(from https://usmanarif.netlify.app/)
16:59:35	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%22ee61feff93cef5568ebb39efb2ebe3a1-ssl-df%22	https://usmanarif.netlify.app/lib/aos-master/dist/aos.css	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/lib/aos-master/dist/aos.css	(from https://usmanarif.netlify.app/dark)
16:59:36	15880/15880	---MCZ	200	added ('OK')	text/css	etag:%2242d84d4b4884ad56c0d8443c07de1f2e-ssl-df%22	https://usmanarif.netlify.app/scss/dark.css	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/scss/dark.css	(from https://usmanarif.netlify.app/dark)
16:59:39	275326/275326	---M--	200	added ('OK')	image/png	etag:%22a09b7a412ee6f9d39ab664f8d121061e-ssl%22	https://usmanarif.netlify.app/assets/images/profile_pic.png	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/assets/images/profile_pic.png	(from https://usmanarif.netlify.app/dark)
16:59:54	1002052/1002052	---M--	200	added ('OK')	image/png	etag:%220561fff2e1e429d714ef9d396cda9c61-ssl%22	https://usmanarif.netlify.app/assets/images/profile_pic1.png	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/assets/images/profile_pic1.png	(from https://usmanarif.netlify.app/dark)
16:59:56	796984/796984	---M--	200	added ('OK')	image/png	etag:%22233643481d0b406eac60413592cda4b0-ssl%22	https://usmanarif.netlify.app/assets/images/portfolio/pic_1.png	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/assets/images/portfolio/pic_1.png	(from https://usmanarif.netlify.app/dark)
16:59:58	754181/754181	---M--	200	added ('OK')	image/png	etag:%225dee40423faca2a9f76d1c457891eaee-ssl%22	https://usmanarif.netlify.app/assets/images/portfolio/pic_3.png	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/assets/images/portfolio/pic_3.png	(from https://usmanarif.netlify.app/dark)
17:00:12	1781820/1781820	---M--	200	added ('OK')	image/png	etag:%2223c1a6127f5b573369b61cd62b03e7cc-ssl%22	https://usmanarif.netlify.app/assets/images/portfolio/pic_4.png	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/assets/images/portfolio/pic_4.png	(from https://usmanarif.netlify.app/dark)
17:00:13	910597/910597	---M--	200	added ('OK')	image/png	etag:%22afeec36bd59825918a72196e0a095e99-ssl%22	https://usmanarif.netlify.app/assets/images/portfolio/pic_5.png	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/assets/images/portfolio/pic_5.png	(from https://usmanarif.netlify.app/dark)
17:00:13	14243/14243	---MCZ	200	added ('OK')	application/javascript	etag:%22224c95fc231752efc3891f6a7112f322-ssl-df%22	https://usmanarif.netlify.app/lib/aos-master/dist/aos.js	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/lib/aos-master/dist/aos.js	(from https://usmanarif.netlify.app/dark)
17:00:14	1072953/1072953	---M--	200	added ('OK')	image/png	etag:%22dabe4888c7fc3baa88f02d78d7d36ca4-ssl%22	https://usmanarif.netlify.app/assets/images/portfolio/pic_6.png	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/assets/images/portfolio/pic_6.png	(from https://usmanarif.netlify.app/dark)
17:00:15	2407/2407	---MCZ	200	added ('OK')	application/javascript	etag:%22854645a6f544b1a6ebff35cb2016d64e-ssl-df%22	https://usmanarif.netlify.app/js/script.js	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/js/script.js	(from https://usmanarif.netlify.app/dark)
17:00:16	15922/15922	---MCZ	200	added ('OK')	text/css	etag:%22b01e043a4f8706c343b38974f0206635-ssl-df%22	https://usmanarif.netlify.app/scss/light.css	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/scss/light.css	(from https://usmanarif.netlify.app/light)
17:00:17	16118/16118	---MCZ	200	added ('OK')	text/css	etag:%22c124f3e70d97e0f3ef7a5caca7330810-ssl-df%22	https://usmanarif.netlify.app/scss/rtl_dark.css	C:/Users/hp/OneDrive/Documents/My%20profile/usmanarif.netlify.app/scss/rtl_dark.css	(from https://usmanarif.netlify.app/rtldark)
